l0,l1,l2,cycle,dsp,ii
4,2,2,17179869219,52,4
8,1,2,34359738431,52,8
1,1,16,1108135124994,5,270540802
1,2,8,4294967313,104,1
1,4,4,4294967313,92,1
1,8,2,4294967313,86,1
2,1,8,8589934616,64,2
2,2,4,8589934616,52,2
2,4,2,8589934616,46,2
4,1,4,17179869222,32,4
4,2,2,17179869222,26,4
8,1,2,34359738434,16,8
1,2,16,36524007426,160,8916994
1,4,8,40810586114,160,9963522
1,8,4,34363940866,160,8389634
1,16,2,34361843714,160,8389122
2,1,16,45113937922,160,22028290
2,2,8,47253032962,160,23072770
2,4,4,51543805954,160,25167874
2,8,2,45099257858,160,22021122
4,1,8,66580383746,160,65019906
4,2,4,68723673090,160,67112962
4,4,2,73016543234,160,71305218
8,1,4,109525861378,160,213917698
8,2,2,111671247874,160,218107906
16,1,2,195423109634,160,763371522
1,16,1056770,160
2,8,1052674,160
2,8,1052674,160
4,4,4196354,160
1,2,16,25786589186,160,6295554
1,4,8,25778200578,160,6293506
1,8,4,25774006274,160,6292482
1,16,2,25771909122,160,6291970
2,1,16,38671486978,128,18882562
2,2,8,38663098370,128,18878466
2,4,4,38658904066,128,18876418
2,8,2,38656806914,128,18875394
4,1,8,60137932802,80,58728450
4,2,4,60133738498,80,58724354
4,4,2,60131641346,80,58722306
8,1,4,100935926786,80,197140482
8,2,2,100933829634,80,197136386
16,1,2,186833175042,44,729817090
1,1,16,833257218050,80,203431938
1,2,8,51556392962,80,12587010
1,4,4,51548004354,80,12584962
1,8,2,51543810050,80,12583938
2,1,8,77326192642,80,37756930
2,2,4,77317804034,80,37752834
2,4,2,77313609730,80,37750786
4,1,4,120267474946,80,117448706
4,2,2,120263280642,80,117444610
8,1,2,201867658242,80,394272770
1,1,16,1108135124994,5,270540802
1,2,8,68736262146,80,16781314
1,4,4,68727873538,80,16779266
1,8,2,68723679234,80,16778242
2,1,8,90211094530,64,44048386
2,2,4,90202705922,64,44044290
2,4,2,90198511618,64,44042242
4,1,4,133152376834,44,130031618
4,2,2,133148182530,38,130027522
8,1,2,219047527426,22,427827202
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,4294967313,160,4
2,2,16,2147483672,208,2
2,4,8,2147483672,184,2
2,8,4,8589934613,160,8
2,16,2,4294967319,160,4
4,1,16,4294967334,128,4
4,2,8,4294967334,160,4
4,4,4,17179869213,160,16
4,8,2,8589934627,160,8
8,1,8,8589934658,160,8
8,2,4,34359738413,160,32
8,4,2,17179869243,160,16
16,1,4,68719476813,160,64
16,2,2,34359738475,160,32
1,2,16,2147483665,208,1
1,4,8,2147483665,184,1
1,8,4,8589934609,160,4
1,16,2,4294967313,160,2
2,1,16,4294967320,128,2
2,2,8,4294967320,160,2
2,4,4,17179869205,160,8
2,8,2,8589934615,160,4
4,1,8,8589934630,160,4
4,2,4,34359738397,160,16
4,4,2,17179869219,160,8
8,1,4,68719476781,160,32
8,2,2,34359738427,160,16
16,1,2,68719476843,160,32
1,8,2097154,160
2,4,4194306,160
4,2,8388610,160
4,2,8388610,160
1,4,16,1073741837,320,1
1,8,8,1073741837,320,1
1,16,4,4294967309,104,4
2,2,16,2147483668,160,2
2,4,8,2147483668,160,2
2,8,4,4294967317,104,4
2,16,2,2147483669,160,2
4,1,16,4294967330,80,4
4,2,8,4294967330,80,4
4,4,4,4294967333,80,4
4,8,2,4294967331,80,4
8,1,8,8589934654,52,8
8,2,4,8589934657,52,8
8,4,2,8589934655,52,8
16,1,4,17179869305,52,16
16,2,2,17179869303,52,16
1,2,16,2147483661,160,1
1,4,8,2147483661,160,1
1,8,4,8589934605,104,4
1,16,2,4294967309,104,2
2,1,16,4294967316,80,2
2,2,8,4294967316,104,2
2,4,4,8589934613,104,4
2,8,2,4294967317,104,2
4,1,8,8589934626,52,4
4,2,4,8589934629,52,4
4,4,2,8589934627,52,4
8,1,4,17179869249,52,8
8,2,2,17179869247,52,8
16,1,2,34359738487,52,16
1,1,16,833257218050,104,203431938
1,2,8,4294967309,104,1
1,4,4,17179869197,104,4
