l0,l1,cycle,dsp,ii
1,16,4,4294967313,116,4
2,2,16,2147483670,208,2
2,4,8,17179869206,116,16
2,8,4,8589934614,116,8
4,1,16,4294967326,140,4
4,2,8,34359738390,116,32
4,4,4,17179869208,116,16
8,1,8,8589934644,116,8
8,2,4,4294967348,116,4
1,2,16,2147483665,208,1
1,4,8,17179869201,116,8
1,8,4,8589934609,116,4
2,1,16,4294967318,140,2
2,2,8,34359738390,116,16
2,4,4,17179869206,116,8
4,1,8,68719476758,116,32
4,2,4,34359738392,116,16
8,1,4,8589934644,116,4
1,16,16,4831838221,78,18
2,8,16,3221225490,116,12
2,16,8,3221225490,113,12
4,4,16,5368709145,74,20
4,8,8,4294967319,86,16
4,16,4,5368709143,68,20
8,2,16,9663676444,49,36
8,4,8,6442450977,64,24
8,8,4,6442450975,58,24
1,8,16,6442450957,58,12
1,16,8,7516192781,50,14
2,4,16,5368709140,74,10
2,8,8,4294967314,86,8
2,16,4,5368709138,68,10
4,2,16,9663676442,49,18
4,4,8,6442450969,64,12
4,8,4,6442450967,58,12
8,1,16,23085449242,24,43
8,2,8,10737418276,44,20
8,4,4,8589934630,46,16
1,4,16,10737418255,38,10
1,8,8,8589934605,43,8
1,16,4,12884901901,30,12
2,2,16,9663676437,49,9
2,4,8,6442450964,64,6
2,8,4,6442450962,58,6
4,1,16,24696061978,24,23
4,2,8,10737418266,44,10
4,4,4,8589934618,46,8
8,1,8,31138512923,21,29
8,2,4,12884901930,36,12
1,2,16,19327352848,26,9
1,4,8,12884901903,33,6
1,8,4,12884901901,30,6
2,1,16,19327352853,32,9
2,2,8,10737418261,44,5
2,4,4,8589934612,46,4
4,1,8,27917287447,21,13
4,2,4,12884901916,36,6
8,1,4,32212254759,21,15
1,16,1048584,104
2,8,2097160,104
4,4,4194312,104
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,1073741841,332,1
2,2,16,1073741846,416,1
2,4,8,1073741846,368,1
2,8,4,1073741846,344,1
4,1,16,1073741856,512,1
4,2,8,1073741856,416,1
4,4,4,1073741856,368,1
8,1,8,1073741876,512,1
8,2,4,1073741876,416,1
1,2,16,2147483665,208,1
1,4,8,2147483665,184,1
1,8,4,2147483665,172,1
2,1,16,2147483670,256,1
2,2,8,2147483670,208,1
2,4,4,2147483670,184,1
4,1,8,2147483680,256,1
4,2,4,2147483680,208,1
8,1,4,2147483700,256,1
1,16,1048584,104
2,8,2097160,104
4,4,4194312,104
8,2,8388616,208
1,8,2097160,104
2,4,4194312,104
4,2,8388616,208
1,2,16,2147483665,208,1
1,4,8,2147483665,184,1
1,8,4,2147483665,172,1
1,16,2,2147483665,166,1
2,1,16,4294967320,128,2
2,2,8,4294967320,104,2
2,4,4,4294967320,92,2
2,8,2,4294967320,86,2
2,16,1,36507222290,8,17
4,1,8,8589934630,64,4
4,2,4,8589934630,52,4
4,4,2,8589934630,46,4
4,8,1,23622320532,5,11
8,1,4,17179869250,32,8
8,2,2,17179869250,26,8
8,4,1,23622320600,5,11
1,1,16,1108135124994,5,270540802
1,2,8,4294967313,104,1
1,4,4,4294967313,92,1
1,8,2,4294967313,86,1
1,16,1,1108103667714,5,270533122
2,1,8,8589934616,64,2
2,2,4,8589934616,52,2
2,4,2,8589934616,46,2
2,8,1,38654705810,8,9
4,1,4,17179869222,32,4
4,2,2,17179869222,26,4
4,4,1,30064771284,5,7
8,1,2,34359738434,16,8
8,2,1,38654705912,5,9
1,1,8,1116725059586,5,272637954
1,2,4,8589934609,52,1
1,4,2,8589934609,46,1
1,8,1,1116695699458,5,272630786
2,1,4,17179869208,32,2
2,2,2,17179869208,26,2
2,4,1,42949673042,8,5
4,1,2,34359738406,16,4
4,2,1,42949673076,5,5
8,1,1,1116695692290,5,-2113921022
1,16,1048584,104
2,8,2097160,104
4,4,4194312,104
8,2,8388616,208
1,8,2097160,104
2,4,4194312,104
4,2,8388616,208
1,1,16,1108135124994,5,270540802
1,1,8,1116725059586,5,272637954
1,16,1048584,104
2,8,2097160,104
4,4,4194312,104
8,2,8388616,208
1,8,2097160,104
2,4,4194312,104
4,2,8388616,208
1,1,16,1108135124994,5,270540802
1,1,8,1116725059586,5,272637954
1,16,1048584,104
2,8,2097160,104
4,4,4194312,104
8,2,8388616,208
1,8,2097160,104
2,4,4194312,104
4,2,8388616,208
1,1,16,1108135124994,5,270540802
1,1,8,1116725059586,5,272637954
1,8,16777224,5
1,1,16,1116725059586,5,272637954
1,2,8,1116725059586,5,272637954
1,4,4,1116725059586,5,272637954
1,8,2,1116725059586,5,272637954
1,16,1,1116725059586,5,272637954
2,1,8,1116725059586,5,272637954
2,2,4,1116725059586,5,272637954
2,4,2,1116725059586,5,272637954
2,8,1,1116725059586,5,272637954
4,1,4,1116725059586,5,272637954
4,2,2,1116725059586,5,272637954
4,4,1,1116725059586,5,272637954
8,1,2,1116725059586,5,272637954
8,2,1,1116725059586,5,272637954
1,8,2097160,104
1,1,16,1108135124994,5,270540802
1,1,8,1116725059586,5,272637954
1,16,1048584,104
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,1073741841,332,1
2,2,16,2147483672,208,2
2,4,8,2147483672,184,2
2,8,4,2147483672,172,2
2,16,2,2147483672,166,2
4,1,16,4294967334,128,4
4,2,8,4294967334,104,4
4,4,4,4294967334,92,4
4,8,2,4294967334,86,4
8,1,8,8589934658,64,8
8,2,4,8589934658,52,8
8,4,2,8589934658,46,8
1,1,16,1108135124994,5,270540802
1,32,524296,98
1,16,1048584,50
1,32,524296,100
1,16,1048584,208
1,2,32,2147483672,256,2
1,4,16,4294967334,128,4
1,8,8,8589934658,64,8
1,16,4,17179869306,32,16
1,32,2,34359738602,16,32
2,1,32,1073741841,416,1
1,1,32,1103840157698,5,269492226
1,1,16,1108135124994,5,270540802
2,32,262152,196
4,16,262152,224
8,8,2097160,104
1,32,524296,100
2,16,524296,208
4,8,4194312,104
8,4,2097160,104
1,16,1048584,208
2,8,8388616,208
4,4,4194312,104
1,4,16,4294967334,128,4
1,8,8,8589934658,64,8
1,16,4,17179869306,32,16
1,1,16,1108135124994,5,270540802
4,16,262152,224
2,16,524296,208
4,8,4194312,104
1,16,1048584,208
2,8,8388616,208
4,4,4194312,104
1,4,16,4294967334,128,4
1,8,8,8589934658,64,8
1,16,4,17179869306,32,16
1,1,16,1108135124994,5,270540802
1,4,16,4294967334,128,4
1,8,8,8589934658,64,8
1,16,4,17179869306,32,16
1,1,16,1108135124994,5,270540802
1,1,16,1108135124994,5,270540802
1,1,8,1116725059586,5,272637954
1,1,16,1108135124994,5,270540802
1,4,16,4294967334,128,4
1,8,8,8589934658,64,8
1,16,4,17179869306,32,16
1,1,16,1108135124994,5,270540802
1,8,16777224,128
1,1,16,1108135124994,5,270540802
1,1,8,1116725059586,5,272637954
1,32,524296,100
1,16,1048584,208
1,4,16,4294967334,128,4
1,8,8,8589934658,64,8
1,16,4,17179869306,32,16
1,1,16,1108135124994,5,270540802
1,32,524296,100
2,16,524296,208
4,8,4194312,104
8,4,2097160,104
16,2,1048584,104
1,16,1048584,208
2,8,8388616,208
4,4,4194312,104
8,2,2097160,104
1,8,16777224,208
2,4,8388616,208
4,2,4194312,104
1,2,16,4294967320,128,2
1,4,8,8589934630,64,4
1,8,4,17179869250,32,8
1,16,2,34359738490,16,16
2,1,16,2147483665,208,1
2,2,8,4294967320,104,2
2,4,4,8589934630,52,4
2,8,2,17179869250,26,8
2,16,1,36507222259,8,17
4,1,8,2147483665,184,1
4,2,4,4294967320,92,2
4,4,2,8589934630,46,4
4,8,1,23622320509,8,11
8,1,4,2147483665,172,1
