l0,l1,cycle,dsp,ii
1,16,142868482,5
2,8,142868482,5
4,4,142868482,5
8,2,142606338,5
l0,l1,cycle,dsp,ii
1,8,143130626,5
2,4,143130626,5
4,2,142606338,5
1,32,4456465,7
2,16,2359313,7
4,8,1310737,7
8,4,786449,7
16,2,524305,5
1,16,4718609,7
2,8,2621457,7
4,4,1572881,7
8,2,1048593,5
1,8,5242897,7
2,4,3145745,7
4,2,2097169,5
1,32,4456465,7
1,16,4718609,7
1,8,5242897,7
1,32,4456465,7
1,16,4718609,7
1,8,5242897,7
1,32,4456465,7
2,16,2359313,7
4,8,1310737,7
8,4,786449,7
16,2,524305,5
1,16,4718609,7
2,8,2621457,7
4,4,1572881,7
8,2,1048593,5
1,8,5242897,7
2,4,3145745,7
4,2,2097169,5
1,32,4456465,7
2,16,2359313,7
4,8,1310737,7
8,4,786449,7
16,2,524305,5
1,16,4718609,7
2,8,2621457,7
4,4,1572881,7
8,2,1048593,5
1,8,5242897,7
2,4,3145745,7
4,2,2097169,5
1,32,4456465,7
2,16,2359313,7
4,8,1310737,7
8,4,786449,7
16,2,524305,5
1,16,4718609,7
2,8,2621457,7
4,4,1572881,7
8,2,1048593,5
1,8,5242897,7
2,4,3145745,7
4,2,2097169,5
1,32,4456465,7
1,16,4718609,7
1,8,5242897,7
1,32,4456465,7
1,16,4718609,7
1,8,5242897,7
1,32,4456465,7
1,16,4718609,7
1,8,5242897,7
1,32,4456465,7
1,16,4718609,7
1,8,5242897,7
1,32,4456465,32
1,16,4718609,32
1,8,5242897,28
1,32,4456465,32
1,16,4718609,32
1,8,5242897,28
1,32,4456465,32
1,16,4718609,32
1,8,5242897,28
1,32,4456465,32
1,16,4718609,32
1,8,5242897,28
1,32,4456465,32
1,16,4718609,32
1,8,5242897,28
1,32,4456465,32
1,16,4718609,32
1,8,5242897,28
1,32,4456465,32
1,16,4718609,32
1,8,5242897,28
1,32,4456465,32
1,16,4718609,32
1,8,5242897,28
1,32,4456465,32
1,16,4718609,32
1,8,5242897,28
1,32,4456465,32
1,16,4718609,32
1,8,5242897,28
1,32,4456465,32
1,16,4718609,32
1,8,5242897,28
1,32,4456465,32
1,16,4718609,32
1,8,5242897,28
1,16,12582929,5
1,8,12582929,5
1,16,12582929,5
1,8,12582929,5
1,64,4325393,32
1,32,4456465,32
1,16,4718609,32
1,64,4325393,32
1,32,4456465,32
1,16,4718609,32
1,32,4456465,32
1,16,4718609,32
1,8,5242897,28
1,64,17301521,32
1,32,17825809,32
1,16,18874385,32
1,32,17825809,32
1,16,18874385,32
1,32,17825809,32
1,16,18874385,32
1,2,33538065,10
1,23,18227217,32
1,46,17498129,32
1,2,33538065,10
1,23,18227217,32
1,46,17498129,32
1,2,33538065,10
1,2,33538065,10
1,2,33538065,10
1,2,33538065,10
1,2,33538065,10
1,2,33538065,10
